home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Burnley,Chelsea,corners_total,9.5,0.5342283333333333,0.4657716666666667,1.806796060822879,1.9938823526857874,9.99900350066697,3.1477366484316,6.851266852235369,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.034228333333333305,12,Burnley,Chelsea
Wolverhampton wanderers,Crystal palace,corners_total,8.5,0.5546833333333333,0.4453166666666667,1.7401670290796045,2.0818477621905602,9.136338148032355,4.586607856109469,4.549730291922885,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.054683333333333306,12,Wolverhampton wanderers,Crystal palace
Brighton & hove albion,Brentford,corners_total,9.5,0.5137083333333333,0.4862916666666667,1.8789682502976175,1.9128028558395305,9.826135477231388,5.628566090891307,4.1975693863400805,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.013708333333333322,12,Brighton & hove albion,Brentford
Fulham,Sunderland,corners_total,9.5,0.46357166666666666,0.5364283333333333,2.0821843042894597,1.7399319605644386,9.413094721974081,6.016910666014674,3.396184055959407,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.03642833333333334,12,Fulham,Sunderland
Liverpool,Nottingham Forest,corners_total,10.5,0.48673,0.51327,1.983115173189733,1.8157294190882924,10.607085010072847,7.120901757033184,3.486183253039663,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.013270000000000004,12,Liverpool,Nottingham Forest
Bournemouth,West ham united,corners_total,10.5,0.4895333333333333,0.5104666666666666,1.9717587802941001,1.8253552274827838,10.623535984606592,6.695269125862675,3.9282668587439176,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.01046666666666668,12,Bournemouth,West ham united
Newcastle,Manchester city,corners_total,9.5,0.5467983333333334,0.4532016666666666,1.765260772399279,2.0470348898166333,10.096485529640425,4.445024131274962,5.651461398365463,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.046798333333333386,12,Newcastle,Manchester city
Leeds United,Aston villa,corners_total,9.5,0.44249166666666667,0.5575083333333333,2.1813781387520788,1.676237399960757,9.239897551179737,4.020007993440833,5.219889557738904,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.05750833333333333,12,Leeds United,Aston villa
Arsenal,Tottenham,corners_total,10.5,0.5128833333333334,0.48711666666666664,1.881990670223843,1.9096807409837033,10.827342653907754,6.99302207228359,3.834320581624165,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.012883333333333358,12,Arsenal,Tottenham
Manchester united,Everton,corners_total,9.5,0.4774466666666667,0.5225533333333333,2.021674284555284,1.7845655389946624,9.523118693110183,5.633339838838717,3.8897788542714653,9.845454545454546,0.029999999999999995,0.72,0.021599999999999994,0.022553333333333314,12,Manchester united,Everton
